,text
86,"Jika Presiden Joko Widodo serius berkomitmen untuk menjamin kesehatan semua orang seperti yang diserukan dalam Pidato Visi Presidennya, maka seharusnya presiden tidak begitu saja menyerukan pengesahan RKUHP.

http://sejuk.org/2019/08/15/jokowi-abai-terhadap-penanggulangan-hiv-aids-jika-rkuhp-buru-buru-disahkan/ …"
87,"""Yakin RKUHP Anti Kolonial?"" 

Amasaa pic.twitter.com/ZsiY0ZviXr"
88,"Selamat sore, kami menjumpai Anda bersama #BuletinSore: 
- Pernyataan @Jokowi Soal Komposisi Kabinet Picu Gejolak di Koalisi
- Banyak Pasal Bermasalah, @DPR_RI Diminta Tak Buru-buru Sahkan RKUHP
- Kilang Minyak @pertamina di Balikpapan Terbakar

Selengkapnya di radio jaringan KBRpic.twitter.com/SgW0LArK6T"
89,RKUHP Diharapkan Bisa Disahkan September 2019|http://bit.ly/2Z5kPAC 
90,"Tim Perumus RKUHP: Perubahan RKUHP diperlukan karena KUHP yang berlaku di Indonesia saat ini merupakan peninggalan kolonial. Padahal, bertolak belakang dari keterangan ini, draft RKUHP yang ada saat ini, masih sangat kental filosofi kolonialnya.

http://icjr.or.id/icjr-rkuhp-masih-berfilosofi-kolonial/ …"
91,"Padahal, jika Presiden Joko Widodo benar-benar serius membahasnya, terdapat banyak rumusan RKUHP yang mempengaruhi kerja-kerja pemerintah, salah satunya soal penanggulangan HIV/AIDS.

http://icjr.or.id/setuju-rkuhp-buru-buru-disahkan-pemerintahan-presiden-joko-widodo-abai-terhadap-penanggulangan-hivaids-indonesia/ …"
92,Ada perubahan yang signifikan dari KUHP di RKUHP yang akan segera diserahkan pemerintah ke DPR. http://dlvr.it/RBFnFV 
93,"Hal Baru di RKUHP, Hormati Hukum Adat hingga Hakim Bisa Memberi Maaf|https://www.google.com/amp/s/amp.kompas.com/nasional/read/2019/08/15/05590071/hal-baru-di-rkuhp-hormati-hukum-adat-hingga-hakim-bisa-memberi-maaf …"
94,RKUHP yang selama ini sedang dirumuskan lebih banyak berlaku untuk KUHP Buku Dua atau yang mengatur mengenai kejahatan. http://dlvr.it/RBFXLd 
95,RKUHP Diharapkan Bisa Disahkan September 2019 http://cnn.id/421458?utm_source=twitter&utm_medium=oa&utm_content=cnnindonesia&utm_campaign=cmssocmed …
